0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0
0.0	871.1	2142.8	3465.4	4903.2
322.2	1022.9	2269.7	3413.3	4351.6
0.0	1030.1	2142.9	3240.1	4142.3
0.0	979.2	2086.1	3157.8	4141.5
0.0	1036.5	1932.8	3077.7	4119.2
0.0	1004.2	1664.3	3070.1	4272.7
0.0	941.2	1830.8	3077.0	4323.9
0.0	1024.2	1942.3	3045.3	4193.9
0.0	1018.2	2051.1	3195.3	4191.2
0.0	1023.5	2213.4	3199.9	4237.5
0.0	1080.8	2093.6	2993.4	4253.8
0.0	1060.8	2104.3	3150.4	4204.3
240.0	1038.9	2178.1	3142.3	4011.9
230.2	948.7	2174.7	2871.8	3930.0
214.1	893.5	1642.7	2736.1	3696.7
0.0	808.1	1224.8	2716.5	3639.1
204.0	816.0	1215.0	2645.0	3729.4
188.4	828.9	1177.5	2551.0	3735.6
189.3	779.1	1124.2	2418.6	3658.0
190.0	743.3	1047.3	2416.5	3636.1
190.6	709.2	1003.5	2390.8	3590.6
192.8	694.5	1002.5	2344.0	3606.4
197.3	683.4	1023.8	2295.3	3647.8
201.9	659.5	1048.0	2131.7	3810.0
206.2	633.1	1063.1	2049.3	3911.6
209.9	598.0	1088.1	1946.0	3889.4
212.9	621.7	1197.1	1908.0	3821.3
214.7	654.1	1284.7	1891.0	3806.3
214.4	612.4	1306.1	1817.8	3791.2
213.8	602.3	1304.7	1806.2	3800.3
213.0	592.3	1338.9	1833.8	3797.9
212.4	587.4	1363.9	1874.6	3792.5
211.7	563.7	1241.4	1935.3	3786.1
210.4	479.2	1103.2	2044.7	3791.0
211.1	840.0	1892.3	2522.5	3982.5
205.8	927.1	2031.8	3072.4	4185.5
193.9	980.7	2147.5	3112.3	4246.6
197.3	1061.0	2248.8	3102.7	4253.4
193.0	696.6	2238.8	3199.2	4153.2
187.9	663.6	2283.8	3132.3	4111.6
184.0	733.6	2228.1	3036.5	4176.6
185.8	862.3	2038.9	2991.6	4236.8
190.6	789.1	1707.0	2921.7	4053.1
213.4	497.9	1059.1	2944.5	3940.0
211.5	438.0	1037.0	2639.0	3994.2
208.6	433.6	1030.7	2572.7	4185.8
209.4	435.5	1035.5	2565.1	4163.5
211.0	439.2	1046.6	2580.8	4188.6
212.2	465.9	1052.0	2621.0	4234.6
212.7	444.1	1065.0	2618.7	4091.0
213.0	426.4	1075.7	2659.8	4093.7
212.5	510.9	1129.1	2626.7	4285.3
211.7	543.2	1292.0	2519.0	4218.4
211.3	515.7	1435.9	2392.1	3995.5
210.0	482.5	1564.5	2382.0	4021.1
208.9	450.5	1787.0	2379.9	4011.8
207.3	426.9	1904.6	2470.3	3933.1
207.1	419.9	1959.5	2530.7	3899.1
208.1	414.3	2094.9	2701.6	3934.7
206.8	423.8	2077.7	2768.9	3958.9
208.4	328.5	1989.6	2796.4	4207.1
64.4	330.9	1968.9	2735.3	4192.8
188.3	327.4	2038.9	3087.8	4205.8
182.8	255.6	1986.4	3206.9	4122.7
193.0	508.1	2035.0	3031.9	4136.8
0.0	525.4	2075.6	3113.3	4298.3
0.0	465.8	1997.9	2781.5	4209.7
213.3	416.7	1970.1	2710.3	4119.5
